Reporting org id,Reporting org name
us-ein-us-ein-13-2702768,"Pact, Inc"
nl-kvk-41198890,Plan International Netherlands
gb-coh-1364201,Plan International UK
ke-ncb-2180511304359047,Population Services Kenya
gb-coh-871954,Practical Action
gb-coh-03580586,PricewaterhouseCoopers LLP
dk-cvr-63407216,Red Barnet
gb-chc-1079752,RedR UK
gb-chc-1098106,Relief International UK
us-ein-20-8530747,Results for Development
nl-kvk-41152786,SNV Netherlands Development Organisation
nl-kvk-41197577,SOS Children's Villages The Netherlands
gb-chc-1105489,Sabre Education Limited
gb-chc-1076822,Save The Children International
gb-coh-213890,Save The Children UK
nl-kvk-41201463,Save the Children Netherlands
fr-siret-77566669600015,Secours Catholique-Caritas France
gb-chc-1076497,Sense International
gb-chc-207544,Sightsavers
nl-kvk-51756811,Solidaridad
nl-kvk-41150939,Solidaridad Europa
hk-cr-1494242,Solidaridad South & South-East Asia
nl-kvk-41048542,Stichting Agriterra
nl-kvk-72849770,Stichting Beheer Subsidiegelden DRA
nl-kvk-41022454,Stichting Red een Kind
nl-kvk-40594571,Stichting Simavi
nl-kvk-41149486,Stichting Vluchteling
gb-chc-1065705,Survivors Fund (SURF)
se-0,Sweden
ch-4,Swiss Agency for Development and Cooperation (SDC)
nl-kvk-41177385,Tearfund Nederland
nl-kvk-41149287,Terre des Hommes Netherlands
ch-fdjp-che106823242,Terre des hommes - Helping children worldwide - Foundation
xi-iati-cwsec,The Commonwealth Secretariat
gb-chc-1158838,The Freedom Fund (UK)
gb-chc-1050327,The Leprosy Mission England and Wales
np-swc-17775,The Leprosy Mission Nepal
xi-iati-ofid,The OPEC Fund for International Development (OFID)
us-ein-941655673,The William and Flora Hewlett Foundation
us-usagov,The federal government of the United States
ke-rco-cpr/2009/5689,TradeMark East Africa
gb-chc-1081769,Transform Africa
gb-gov-1,"UK - Foreign, Commonwealth and Development Office"
gb-chc-1166956,UK-Med
xi-iati-unpf,UN Pooled funds
xm-dac-41146,UN Women
xm-dac-41122,UNICEF
xm-ocha-cerf,UNOCHA - Central Emergency Response Fund (CERF)
xm-dac-30010,Unitaid
xm-dac-41114,United Nations Development Programme
xm-dac-41304,"United Nations Educational, Scientific and Cultural Organization (UNESCO)"
xm-dac-41121,United Nations High Commissioner for Refugees (UNHCR)
xm-dac-41123,United Nations Industrial Development Organization
