Reporting org,Reporting org type,Provider org,Receiver org,Humanitarian?,Strict?,Transaction type,Transaction direction,Total money
#org+name+reporting,#org+reporting+type,#org+name+provider,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#x_transaction_direction,#value+total
ABAAD- Resource Center for Gender Equality,22,,(unspecified org),1,0,spending,outgoing,1112742
ADD International,21,,(unspecified org),0,0,spending,outgoing,2178
ADD International,21,,(unspecified org),0,1,spending,outgoing,165845
ADD International,21,Sightsavers,,0,0,spending,incoming,97064
ADD International,21,Sightsavers,,0,1,commitments,incoming,162155
ADD International,21,Sightsavers,,0,1,spending,incoming,131689
ADRA Danmark,22,(unspecified org),,1,0,commitments,incoming,357702
ADRA Danmark,22,(unspecified org),,1,0,spending,incoming,548839
ADRA Danmark,22,(unspecified org),,1,1,commitments,incoming,93170
ADRA Danmark,22,(unspecified org),,1,1,spending,incoming,99583
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),0,0,commitments,outgoing,3529385
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),0,0,spending,outgoing,3769376
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),0,1,commitments,outgoing,46274507
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),0,1,spending,outgoing,50340330
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),1,0,commitments,outgoing,4504184
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),1,0,spending,outgoing,4830260
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),1,1,commitments,outgoing,15043470
AECID Spanish Agency for International Development Cooperation,10,,(unspecified org),1,1,spending,outgoing,15995888
AFD,10,,(unspecified org),0,0,commitments,outgoing,2061442355
AFD,10,,(unspecified org),0,0,spending,outgoing,907195403
AFD,10,,(unspecified org),0,1,commitments,outgoing,492836567
AFD,10,,(unspecified org),0,1,spending,outgoing,138412032
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,10,,(unspecified org),0,0,commitments,outgoing,4079613
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,10,,(unspecified org),0,0,spending,outgoing,6772951
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,10,,(unspecified org),0,1,commitments,outgoing,23941642
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,10,,(unspecified org),0,1,spending,outgoing,6664171
APT Action on Poverty,21,(unspecified org),,0,0,spending,incoming,431390
APT Action on Poverty,21,MannionDaniels,,0,0,spending,incoming,211686
APT Action on Poverty,21,Medicor Foundation,,0,0,spending,incoming,33352
APT Action on Poverty,21,,(unspecified org),0,0,spending,outgoing,696511
APT Action on Poverty,21,,MAPCO,0,0,spending,outgoing,207675
APT Action on Poverty,21,,VEDCO,0,0,spending,outgoing,136017
APT Action on Poverty,21,,VEDCO,1,0,spending,outgoing,32438
Abdul Latif Jameel Poverty Action Lab,80,(unspecified org),,0,0,spending,incoming,7234259
Able Child Africa,21,"Foreign, Commonwealth and Development Office",,0,0,spending,incoming,85429
Able Child Africa,21,"Foreign, Commonwealth and Development Office",,0,1,spending,incoming,22362
Able Child Africa,21,,(unspecified org),0,0,spending,outgoing,24922
Able Child Africa,21,,(unspecified org),0,1,spending,outgoing,8533
Able Child Africa,21,,UWEZO Youth Empowerment,0,0,spending,outgoing,117593
Able Child Africa,21,,UWEZO Youth Empowerment,0,1,spending,outgoing,30201
Abt Britain Ltd,71,"Foreign, Commonwealth and Development Office",,0,0,spending,incoming,484682
Abt Britain Ltd,71,"Foreign, Commonwealth and Development Office",,0,1,spending,incoming,29245
Access to Nutrition Foundation,21,(unspecified org),,1,0,spending,incoming,5328996
Action Against Hunger (UK),21,(unspecified org),,1,1,spending,incoming,1617799
Action Against Hunger (UK),21,"Foreign, Commonwealth and Development Office",,1,1,spending,incoming,1222023
Action Against Hunger (UK),21,,(unspecified org),1,1,spending,outgoing,2551167
ActionAid Bangladesh,21,AAB's private donor,,1,1,commitments,incoming,663
ActionAid Bangladesh,21,ActionAid Denmark,,1,1,spending,incoming,153348
ActionAid Bangladesh,21,ActionAid International,,1,1,commitments,incoming,47035
ActionAid Bangladesh,21,ActionAid International,,1,1,spending,incoming,47035
ActionAid Bangladesh,21,BAPA,,1,1,commitments,incoming,3537
ActionAid Bangladesh,21,,(unspecified org),1,1,spending,outgoing,136795
ActionAid Bangladesh,21,,ALO,1,1,commitments,outgoing,21593
ActionAid Bangladesh,21,,ALO,1,1,spending,outgoing,21589
ActionAid Bangladesh,21,,AVAS,1,1,commitments,outgoing,8703
ActionAid Bangladesh,21,,AVAS,1,1,spending,outgoing,8703
ActionAid Bangladesh,21,,Association of Voluntary Action for Society (AVAS),1,1,commitments,outgoing,663
ActionAid Bangladesh,21,,Association of Voluntary Action for Society (AVAS),1,1,spending,outgoing,663
ActionAid Bangladesh,21,,BACE,1,1,spending,outgoing,371283
ActionAid Bangladesh,21,,BADHON,1,1,commitments,outgoing,19895
ActionAid Bangladesh,21,,BADHON,1,1,spending,outgoing,19894
ActionAid Bangladesh,21,,BITA,1,1,commitments,outgoing,17613
ActionAid Bangladesh,21,,BITA,1,1,spending,outgoing,17570
ActionAid Bangladesh,21,,BSDO,1,1,commitments,outgoing,4351
ActionAid Bangladesh,21,,BSDO,1,1,spending,outgoing,4351
ActionAid Bangladesh,21,,Chanpara Clinic,1,1,commitments,outgoing,4314
ActionAid Bangladesh,21,,Chanpara Clinic,1,1,spending,outgoing,4314
ActionAid Bangladesh,21,,DALIT,1,1,commitments,outgoing,4330
ActionAid Bangladesh,21,,DALIT,1,1,spending,outgoing,4330
ActionAid Bangladesh,21,,GHORAGHAT,1,1,commitments,outgoing,4347
ActionAid Bangladesh,21,,GHORAGHAT,1,1,spending,outgoing,4347
ActionAid Bangladesh,21,,HEAD,1,1,commitments,outgoing,21168
ActionAid Bangladesh,21,,HEAD,1,1,spending,outgoing,21155
ActionAid Bangladesh,21,,NDBUS,1,1,commitments,outgoing,4328
ActionAid Bangladesh,21,,NDBUS,1,1,spending,outgoing,4328
ActionAid Bangladesh,21,,Nari Maitree,1,1,commitments,outgoing,21035
ActionAid Bangladesh,21,,Nari Maitree,1,1,spending,outgoing,20986
ActionAid Bangladesh,21,,Shusilan,1,1,commitments,outgoing,4351
ActionAid Bangladesh,21,,Shusilan,1,1,spending,outgoing,4351
ActionAid Bangladesh,21,,USS,1,1,commitments,outgoing,23605
ActionAid Bangladesh,21,,USS,1,1,spending,outgoing,23605
ActionAid Bangladesh,21,,VARD,1,1,commitments,outgoing,4351
ActionAid Bangladesh,21,,VARD,1,1,spending,outgoing,4351
ActionAid Bangladesh,21,,YPSA,1,1,commitments,outgoing,16402
ActionAid Bangladesh,21,,YPSA,1,1,spending,outgoing,16373
ActionAid Denmark,21,,ActionAid Bangladesh,0,0,commitments,outgoing,181255
ActionAid Denmark,21,,ActionAid Bangladesh,0,0,spending,outgoing,628700
ActionAid Denmark,21,,ActionAid Kenya,0,0,commitments,outgoing,39306
ActionAid Denmark,21,,ActionAid Kenya,0,0,spending,outgoing,616823
ActionAid Denmark,21,,ActionAid Zimbabwe,0,0,commitments,outgoing,109008
ActionAid Denmark,21,,ActionAid Zimbabwe,0,0,spending,outgoing,480623
ActionAid Kenya,21,ActionAid UK,,0,0,commitments,incoming,621090
ActionAid Kenya,21,ActionAid UK,,0,0,spending,incoming,364657
ActionAid Kenya,21,,(unspecified org),0,0,spending,outgoing,56957
ActionAid UK,21,(unspecified org),,1,1,spending,incoming,45283
ActionAid UK,21,AAUK Individual Giving,,0,0,commitments,incoming,177
ActionAid UK,21,AAUK Trusts and Foundation and Individual Giving,,0,0,spending,incoming,842
ActionAid UK,21,AAUK Trusts and Foundations,,0,0,commitments,incoming,665
ActionAid UK,21,AAUK Trusts and Foundations,,0,1,commitments,incoming,42453
ActionAid UK,21,Christian Aid,,1,1,commitments,incoming,121589
ActionAid UK,21,Christian Aid,,1,1,spending,incoming,121707
ActionAid UK,21,Disasters Emergency Committee,,1,1,commitments,incoming,1181712
ActionAid UK,21,MannionDaniels,,0,0,spending,incoming,12047
ActionAid UK,21,,(unspecified org),0,0,spending,outgoing,1160
ActionAid UK,21,,(unspecified org),0,1,commitments,outgoing,36495
ActionAid UK,21,,(unspecified org),0,1,spending,outgoing,43099
ActionAid UK,21,,(unspecified org),1,1,spending,outgoing,598152
ActionAid UK,21,,AA Afghanistan,1,1,commitments,outgoing,155152
ActionAid UK,21,,AAI,1,1,commitments,outgoing,25840
ActionAid UK,21,,ActionAid Bangladesh,1,1,commitments,outgoing,156276
ActionAid UK,21,,ActionAid DRC,1,1,commitments,outgoing,345124
ActionAid UK,21,,ActionAid DRC,1,1,spending,outgoing,282656
ActionAid UK,21,,ActionAid Kenya,0,0,commitments,outgoing,842
ActionAid UK,21,,ActionAid Kenya,0,0,spending,outgoing,13493
ActionAid UK,21,,ActionAid Kenya,1,1,commitments,outgoing,963
ActionAid UK,21,,ActionAid Kenya,1,1,spending,outgoing,652484
ActionAid UK,21,,ActionAid Myanmar,1,1,commitments,outgoing,116061
ActionAid UK,21,,ActionAid Nepal,1,1,spending,outgoing,653970
ActionAid UK,21,,ActionAid Somaliland,1,1,commitments,outgoing,155052
ActionAid UK,21,Unilever,,1,1,commitments,incoming,1490520
ActionAid UK,21,Unilever,,1,1,spending,incoming,1388364
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),0,0,commitments,outgoing,45790615
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),0,0,spending,outgoing,29334854
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),0,1,commitments,outgoing,58602399
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),0,1,spending,outgoing,40086629
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),1,0,commitments,outgoing,2568067
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),1,0,spending,outgoing,1942523
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),1,1,commitments,outgoing,2402131
"Affaires étrangères, Commerce et Développement Canada (MAECD)",10,,(unspecified org),1,1,spending,outgoing,2410191
African Center for Economic Transformation,80,,(unspecified org),0,0,spending,outgoing,2083009
African Center for Global Health and Social Transformation,22,(unspecified org),,0,0,spending,incoming,800157
African Center for Global Health and Social Transformation,22,,(unspecified org),0,0,spending,outgoing,223015
African Development Bank Group,40,,(unspecified org),0,0,commitments,outgoing,5922760
African Development Bank Group,40,,(unspecified org),0,0,spending,outgoing,261170622
African Development Bank Group,40,,(unspecified org),0,1,spending,outgoing,3105764691
African Development Bank Group,40,,AFRICAN UNION,0,1,commitments,outgoing,27741264
African Development Bank Group,40,,CEMAC - COMMUNAUTE ECONOMIQUE ET MONETAIRE DE L'AFRIQUE CENTRALE,0,1,commitments,outgoing,11096506
African Development Bank Group,40,,CEMAC- COMMUNAUTE ECONOMIQUE ET MONETAIREDE L'AFRIQUE CENTRALE,0,1,commitments,outgoing,11096505
African Development Bank Group,40,,EAST AFRICAN COMMUNITY (EAC),0,1,commitments,outgoing,8965343
African Development Bank Group,40,,ECOWAS Economic Communityof West African States (ECOWAS),0,1,commitments,outgoing,9709442
African Development Bank Group,40,,G5 Sahel,0,1,commitments,outgoing,22193011
African Development Bank Group,40,,GOUV. DU SENEGAL /MINISTERE DE L'ECO. DES FINANCES ET DU PLAN,0,0,commitments,outgoing,597276
African Development Bank Group,40,,GOUV. DU SENEGAL /MINISTERE DE L'ECO. DES FINANCES ET DU PLAN,0,1,commitments,outgoing,101149841
African Development Bank Group,40,,GOUVERMENT DE DJIBOUTI (MULTINATIONAL),0,1,commitments,outgoing,41611895
African Development Bank Group,40,,GOUVERNEMENT DE CENTRAFRIQUE MINISTERE DE L'ECONOMIE ET DES FINANCES,0,0,commitments,outgoing,24492308
African Development Bank Group,40,,GOUVERNEMENT DE CENTRAFRIQUE MINISTERE DE L'ECONOMIE ET DES FINANCES,0,1,commitments,outgoing,14564163
African Development Bank Group,40,,GOUVERNEMENT DE GUINEE,0,1,commitments,outgoing,33289516
African Development Bank Group,40,,GOUVERNEMENT DE LA COTE D'IVOIRE MINISTERE DE L'ECONOMIE ET DES FINANCES,0,1,commitments,outgoing,84869581
African Development Bank Group,40,,GOUVERNEMENT DE LA GUINEE-BISSAU MINISTERE DE L'ECONOMIE ET DES FINANCES,0,1,commitments,outgoing,9501382
African Development Bank Group,40,,GOUVERNEMENT DE LA REPUBLIQUE DU BENIN MINISTERE DES FINANCES,0,1,commitments,outgoing,7074022
African Development Bank Group,40,,GOUVERNEMENT DE LA REPUBLIQUE DU BURKINA MINISTERE DE L'ECONOMIE ET DES FINANCES,0,1,commitments,outgoing,55482526
African Development Bank Group,40,,GOUVERNEMENT DE LA REPUBLIQUE DU GABON MINISTERE DE L'ECONOMIE ET DES FINANCES,0,1,commitments,outgoing,117751276
African Development Bank Group,40,,GOUVERNEMENT DE MADAGASCAR MINISTERE DES FINANCES ET DE ECONOMIE DIR. TRESOR,0,0,commitments,outgoing,27741263
African Development Bank Group,40,,GOUVERNEMENT DE MADAGASCAR MINISTERE DES FINANCES ET DE ECONOMIE DIR. TRESOR,0,1,commitments,outgoing,83884205
African Development Bank Group,40,,"GOUVERNEMENT DE MAURITANIE MINISTERE DES ""FINANCES,DIRECTION DE LA DETTE EXTERIEU",0,1,commitments,outgoing,10402974
African Development Bank Group,40,,GOUVERNEMENT DE REPUBLIQUE DEMOCRATIQUE DU CONGO MINISTERE DES FINANCES BUDGET,0,1,commitments,outgoing,139954674
African Development Bank Group,40,,GOUVERNEMENT DE TUNISIE MINISTERE DES FINANCES,0,1,commitments,outgoing,209823743
African Development Bank Group,40,,GOUVERNEMENT DES COMORES,0,1,commitments,outgoing,20805948
African Development Bank Group,40,,GOUVERNEMENT DU CAMEROUN MINISTERE DE L'ECONOMIE ET DES FINANCES,0,1,commitments,outgoing,103105595
African Development Bank Group,40,,"GOUVERNEMENT DU MALI (MULTINATIONAL) MINISTERE DES FINANCES, DE L'ECON. ET DU PLAN",0,1,commitments,outgoing,5201487
African Development Bank Group,40,,GOUVERNEMENT DU MAROC MINISTERE DES FINANCES DIRECTION DU,0,1,commitments,outgoing,434734752
African Development Bank Group,40,,GOUVERNEMENT DU NIGER,0,0,commitments,outgoing,35868066
African Development Bank Group,40,,GOUVERNEMENT DU NIGER,0,1,commitments,outgoing,115334302
African Development Bank Group,40,,GOUVERNEMENT DU TCHAD (MULTINATIONAL),0,1,commitments,outgoing,1482770
African Development Bank Group,40,,GOUVERNEMENT DU TCHAD,0,1,commitments,outgoing,62417842
African Development Bank Group,40,,GOUVERNEMNT DE SAO TOME AND PRINCIPE MINISTERE DE ECONOMIE ET DES FINANCES,0,1,commitments,outgoing,11096506
African Development Bank Group,40,,GOVERNEMENT OF KENYA,0,1,commitments,outgoing,219149243
African Development Bank Group,40,,GOVERNEMENT OF MOZAMBIQUE MINISTRY OF FINANCE,0,1,commitments,outgoing,41611896
African Development Bank Group,40,,GOVERNEMENT OF RWANDA (MULTINATIONAL),0,1,commitments,outgoing,98481485
African Development Bank Group,40,,GOVERNMENT OF EGYPT,0,0,commitments,outgoing,261495134
African Development Bank Group,40,,GOVERNMENT OF EGYPT,0,1,commitments,outgoing,481529
African Development Bank Group,40,,GOVERNMENT OF ETHIOPIA,0,1,commitments,outgoing,332895160
African Development Bank Group,40,,GOVERNMENT OF GAMBIA MINISTRY OF FINANCE AND TRADE,0,1,commitments,outgoing,13870632
African Development Bank Group,40,,GOVERNMENT OF GAMBIAMINISTRY OF FINANCE AND TRADE,0,1,commitments,outgoing,3467658
African Development Bank Group,40,,GOVERNMENT OF GHANA,0,1,commitments,outgoing,68659627
African Development Bank Group,40,,GOVERNMENT OF LIBERIA MINISTRY OF FINANCE,0,1,commitments,outgoing,14078691
African Development Bank Group,40,,GOVERNMENT OF MALAWI,0,1,commitments,outgoing,45634378
African Development Bank Group,40,,GOVERNMENT OF MAURITIUS MINISTRY OF FINANCE,0,1,commitments,outgoing,218493712
African Development Bank Group,40,,GOVERNMENT OF NIGERIA,0,1,commitments,outgoing,277739953
African Development Bank Group,40,,GOVERNMENT OF SEYCHELLES MINISTRY OF FINANCE,0,1,commitments,outgoing,9699132
African Development Bank Group,40,,GOVERNMENT OF SIERRA LEONE,0,1,commitments,outgoing,25195812
African Development Bank Group,40,,GOVERNMENT OF SOMALIA MINISTRY OF FINANCE,0,1,commitments,outgoing,25383256
African Development Bank Group,40,,"GOVERNMENT OF SOUTH AFRICA MINISTRY OF FINANCE, DEPT. OF FINANCE",0,1,commitments,outgoing,294992879
African Development Bank Group,40,,GOVERNMENT OF SOUTH SUDAN,0,1,commitments,outgoing,4161190
African Development Bank Group,40,,GOVERNMENT OF SUDAN,0,1,commitments,outgoing,27741263
African Development Bank Group,40,,GOVERNMENT OF TANZANIA,0,1,commitments,outgoing,49934274
African Development Bank Group,40,,GOVERNMENT OF UGANDA,0,1,commitments,outgoing,31902453
African Development Bank Group,40,,GOVERNMENT OF ZIMBABWE MINISTRY OF FINANCE & ECON DEVELOPMENT,0,1,commitments,outgoing,13870632
African Development Bank Group,40,,IGAD,0,1,commitments,outgoing,744100
African Development Bank Group,40,,MINISTERE DE L'ECONOMIE ET DES FINANCES GOUVERNEMENT DU TOGO,0,1,commitments,outgoing,27741262
African Development Bank Group,40,,MINISTERE DU PLAN ET AMENAGEMENT DU TERRITOIRE,0,0,commitments,outgoing,2080595
African Development Bank Group,40,,MINISTRY OF FINANCE AND PLANNING OF CV.,0,1,commitments,outgoing,34627524
African Development Bank Group,40,,ORGANISATION MONDIALE DE LA SANTE - OMSBUREAU REGIONAL AFRIQUE,0,1,commitments,outgoing,2029933
African Development Bank Group,40,,REPUBLIQUE DU MALI,0,0,commitments,outgoing,146809
African Development Bank Group,40,,REPUBLIQUE DU MALI,0,1,commitments,outgoing,49934274
African Development Bank Group,40,,SADC - SOUTHERN AFRICA DEVELOPMENT COMMUNITY,0,1,commitments,outgoing,9015911
Aga Khan Foundation (United Kingdom),21,FCDO,,0,1,spending,incoming,1136685
Aga Khan Foundation (United Kingdom),21,,AKAH India,0,1,spending,outgoing,132471
Aga Khan Foundation (United Kingdom),21,,AKF India,0,1,spending,outgoing,178346
Aga Khan Foundation (United Kingdom),21,,AKRSP India,0,1,spending,outgoing,289866
Age International UK (HelpAge International UK),21,,(unspecified org),1,1,spending,outgoing,391198
Age International UK (HelpAge International UK),21,Save the Children UK,,1,1,spending,incoming,391198
Age International UK (HelpAge International UK),22,(unspecified org),,1,0,spending,incoming,58453
Age International UK (HelpAge International UK),22,(unspecified org),,1,1,spending,incoming,308954
Age International UK (HelpAge International UK),22,Disasters Emergency Committee,,1,0,spending,incoming,218077
Age International UK (HelpAge International UK),22,Disasters Emergency Committee,,1,1,spending,incoming,303959
Age International UK (HelpAge International UK),22,,(unspecified org),1,0,spending,outgoing,276530
Age International UK (HelpAge International UK),22,,(unspecified org),1,1,spending,outgoing,612913
Amref Health Africa - UK,21,(unspecified org),,0,0,spending,incoming,542040
Amref Health Africa - UK,21,(unspecified org),,0,1,spending,incoming,372790
Amref Health Africa - UK,21,,(unspecified org),0,0,spending,outgoing,228902
Amref Health Africa - UK,21,,(unspecified org),0,1,spending,outgoing,374613
Asian Development Bank,40,,Asian Development Bank;Ministry of Finance;Ministry of Finance;Ministry of Finance,0,1,spending,outgoing,5900000
Asian Development Bank,40,,Benazir Income Support Program;Benazir Income Support Program;National Disaster Risk Management Fund;National Disaster Risk Management Fund,0,1,commitments,outgoing,300000000
Asian Development Bank,40,,Benazir Income Support Program;Benazir Income Support Program;National Disaster Risk Management Fund;National Disaster Risk Management Fund,0,1,spending,outgoing,198176348
Asian Development Bank,40,,China National Investment and Guaranty Corporation,0,0,commitments,outgoing,150000000
Asian Development Bank,40,,"Department of Finance and Administration;Department of Finance and Administration;Department of Health, Education and Social Affairs;Department of Resources and Development",0,1,commitments,outgoing,14000000
Asian Development Bank,40,,"Department of Finance and Administration;Department of Finance and Administration;Department of Health, Education and Social Affairs;Department of Resources and Development",0,1,spending,outgoing,14000000
Asian Development Bank,40,,"Department of Finance and Administration;Ministry of Finance;Ministry of Finance, Banking and Postal Services;Ministry of Finance and Treasury",0,1,spending,outgoing,24000000
Asian Development Bank,40,,Department of Finance,0,1,commitments,outgoing,2404794757
Asian Development Bank,40,,Department of Finance,0,1,spending,outgoing,2214384574
Asian Development Bank,40,,Department of Health;Department of Health,0,1,commitments,outgoing,125000000
Asian Development Bank,40,,Department of Health;Department of Health,0,1,spending,outgoing,4829126
Asian Development Bank,40,,Department of Health;Department of Treasury;Department of Finance,0,0,commitments,outgoing,150000000
Asian Development Bank,40,,Department of Health;Department of Treasury;Department of Finance,0,0,spending,outgoing,150000000
Asian Development Bank,40,,Department of Health,0,1,commitments,outgoing,400000000
Asian Development Bank,40,,Department of Social Welfare and Development,0,0,commitments,outgoing,200000000
Asian Development Bank,40,,Department of Social Welfare and Development,0,0,spending,outgoing,200000000
Asian Development Bank,40,,Department of Treasury,0,1,commitments,outgoing,250000000
Asian Development Bank,40,,Department of Treasury,0,1,spending,outgoing,250000000
Asian Development Bank,40,,"Local Govt Div,Min of Local Govt Rural Devt & Coop;Department of Women's Affairs;Department of Disaster Management;Finance Division, Ministry of Finance;Department of Social Services (DoSS), Ministry of Social Welfare",0,1,commitments,outgoing,500000000
Asian Development Bank,40,,"Local Govt Div,Min of Local Govt Rural Devt & Coop;Department of Women's Affairs;Department of Disaster Management;Finance Division, Ministry of Finance;Department of Social Services (DoSS), Ministry of Social Welfare",0,1,spending,outgoing,500000000
Asian Development Bank,40,,Ministry of Economy and Finance,0,1,commitments,outgoing,250000000
Asian Development Bank,40,,Ministry of Economy and Finance,0,1,spending,outgoing,250000000
Asian Development Bank,40,,Ministry of Economy,0,1,commitments,outgoing,200000000
Asian Development Bank,40,,Ministry of Economy,0,1,spending,outgoing,200000000
Asian Development Bank,40,,Ministry of Finance & Economic Management;Ministry of Internal Affairs,0,0,commitments,outgoing,9640000
Asian Development Bank,40,,Ministry of Finance & Economic Management;Office of the Prime Minister,0,1,commitments,outgoing,9734796
Asian Development Bank,40,,Ministry of Finance & Economic Management;Office of the Prime Minister,0,1,spending,outgoing,10068694
Asian Development Bank,40,,Ministry of Finance & Economic Management,0,1,commitments,outgoing,37980190
Asian Development Bank,40,,Ministry of Finance & Economic Management,0,1,spending,outgoing,21420098
Asian Development Bank,40,,Ministry of Finance (formerly Ministry of Finance and Economy);Ministry of Labor and Social Protection,0,1,commitments,outgoing,26400000
Asian Development Bank,40,,Ministry of Finance (formerly Ministry of Finance and Economy);Ministry of Labor and Social Protection,0,1,spending,outgoing,26375817
Asian Development Bank,40,,Ministry of Finance (formerly Ministry of Finance and Economy),0,1,commitments,outgoing,100000000
Asian Development Bank,40,,Ministry of Finance (formerly Ministry of Finance and Economy),0,1,spending,outgoing,100000000
Asian Development Bank,40,,"Ministry of Finance (formerly Ministry of Finance and Treasury);Ministry of Economic Development (MED);Ministry of Gender, Family and Social Services;Ministry of Health",0,1,commitments,outgoing,25000000
Asian Development Bank,40,,"Ministry of Finance (formerly Ministry of Finance and Treasury);Ministry of Economic Development (MED);Ministry of Gender, Family and Social Services;Ministry of Health",0,1,spending,outgoing,25000000
Asian Development Bank,40,,Ministry of Finance Directorate General of Budget Financing and Risk Management,0,1,commitments,outgoing,2007915482
Asian Development Bank,40,,Ministry of Finance Directorate General of Budget Financing and Risk Management,0,1,spending,outgoing,1820551869
Asian Development Bank,40,,Ministry of Finance and Treasury,0,1,commitments,outgoing,10000000
Asian Development Bank,40,,Ministry of Finance and Treasury,0,1,spending,outgoing,10000000
Asian Development Bank,40,,"Ministry of Finance, Banking and Postal Services",0,1,commitments,outgoing,22500000
Asian Development Bank,40,,Ministry of Finance;Ministry of Economy and Sustainable Development of Georgia;National Bank of Georgia,0,1,commitments,outgoing,201741975
Asian Development Bank,40,,Ministry of Finance;Ministry of Economy and Sustainable Development of Georgia;National Bank of Georgia,0,1,spending,outgoing,209223967
Asian Development Bank,40,,"Ministry of Finance;Ministry of Finance & Economic Management;Ministry of Finance & Economic Management;Department of Finance and Administration;Ministry of Finance and Economic Development;Ministry of Finance;Ministry of Finance;Ministry of Finance, Banking and Postal Services;Ministry of Finance and Treasury;Ministry of Finance;Ministry of Finance",0,1,commitments,outgoing,74000000
Asian Development Bank,40,,Ministry of Finance;Ministry of Finance,0,1,commitments,outgoing,1560000000
Asian Development Bank,40,,Ministry of Finance;Ministry of Finance,0,1,spending,outgoing,560000000
Asian Development Bank,40,,Ministry of Finance;Tea Small Holdings Development Authority;Department of Development Finance;Ministry of Plantation,0,1,commitments,outgoing,165000000
Asian Development Bank,40,,Ministry of Finance;Tea Small Holdings Development Authority;Department of Development Finance;Ministry of Plantation,0,1,spending,outgoing,119000000
Asian Development Bank,40,,Ministry of Finance,0,1,commitments,outgoing,2329838136
Asian Development Bank,40,,Ministry of Finance,0,1,spending,outgoing,2283486569
Asian Development Bank,40,,Ministry of Health (formerly Ministry of Health and Sports),0,1,commitments,outgoing,29883827
Asian Development Bank,40,,Ministry of Health (formerly Ministry of Health and Sports),0,1,spending,outgoing,11267592
Asian Development Bank,40,,Ministry of Health and Family Welfare;Directorate General of Health Services,0,1,commitments,outgoing,100000000
Asian Development Bank,40,,Ministry of Health and Family Welfare;Directorate General of Health Services,0,1,spending,outgoing,17550554
Asian Development Bank,40,,Ministry of Health and Sports,0,1,commitments,outgoing,30000000
Asian Development Bank,40,,Ministry of Health;Ministry of Finance,0,1,commitments,outgoing,10000000
Asian Development Bank,40,,Ministry of Health;Ministry of Finance,0,1,spending,outgoing,863753
Asian Development Bank,40,,Ministry of Health,0,1,commitments,outgoing,120000000
Asian Development Bank,40,,Ministry of Health,0,1,spending,outgoing,601517
Asian Development Bank,40,,"Ministry of Planning, Finance and Industry (formerly Ministry of Planning and Finance)",0,1,commitments,outgoing,250000000
Asian Development Bank,40,,"Ministry of Planning, Finance and Industry (formerly Ministry of Planning and Finance)",0,1,spending,outgoing,250000000
Asian Development Bank,40,,Ministry of Public Health,0,1,commitments,outgoing,40000000
Asian Development Bank,40,,Ministry of Public Health,0,1,spending,outgoing,14213403
Asian Development Bank,40,,"Ministry of Rural Development;Ministry of Petroleum and Natural Gas;Department of Financial Services, Ministry of Finance;Ministry of Health and Family Welfare;Ministry of Consumer Affairs, Food and Public Distribution;Ministry of Agriculture and Farmer’s Welfare;Ministry of Labour and Employment;Department of Expenditure, Ministry of Finance;Department of Economic Affairs, Ministry of Finance",0,1,commitments,outgoing,1500000000
Asian Development Bank,40,,"Ministry of Rural Development;Ministry of Petroleum and Natural Gas;Department of Financial Services, Ministry of Finance;Ministry of Health and Family Welfare;Ministry of Consumer Affairs, Food and Public Distribution;Ministry of Agriculture and Farmer’s Welfare;Ministry of Labour and Employment;Department of Expenditure, Ministry of Finance;Department of Economic Affairs, Ministry of Finance",0,1,spending,outgoing,1500000000
Asian Development Bank,40,,"Nepal Rastra Bank;Ministry of Industry, Commerce & Supplies;Ministry of Finance;Ministry of Health and Population;Ministry of Agriculture and Livestock Development;Ministry of Labor, Employment and Social Security",0,1,commitments,outgoing,250000000
Asian Development Bank,40,,"Nepal Rastra Bank;Ministry of Industry, Commerce & Supplies;Ministry of Finance;Ministry of Health and Population;Ministry of Agriculture and Livestock Development;Ministry of Labor, Employment and Social Security",0,1,spending,outgoing,250000000
Asian Development Bank,40,,Office of the Chief Secretary,0,0,commitments,outgoing,3000000
